original_name,label
n02843684,object
n02859443,scene
n02860847,scene
n02865351,object
n02869837,object
n02870880,object
n02871525,scene
n02877765,scene
n02879718,object
n02883205,object
n02892201,scene
n02894605,scene
n02895154,object
n02906734,object
n02909870,plant or food
n02910353,object
n02917067,scene
n02927161,scene
n02930766,plant or food
n02939185,plant or food
n02948072,object
n02950826,object
n02951358,scene
n02951585,object
n02963159,object
n02965783,object
n02966193,object
n02966687,object
n02971356,plant or food
n02974003,object
n02977058,object
n02978881,plant or food
n02979186,object
n02980441,scene
n02981792,scene
n02988304,object
n02992211,object
n02992529,object
n02999410,object
n03000134,scene
n03000247,object
n03000684,object
n03014705,plant or food
n03016953,object
n03017168,object
n03018349,object
n03026506,object
n03028079,scene
n03032252,scene
n03041632,object
n03042490,scene
n03045698,scene
n03047690,scene
n03062245,plant or food
n03063599,plant or food
n03063689,plant or food
n03065424,object
n03075370,object
n03085013,object
n03089624,scene
n03095699,scene
n03100240,plant or food
n03109150,object
n03110669,object
n03124043,scene
n03124170,object
n03125729,object
n03126707,object
n03127747,object
n03127925,plant or food
n03131574,object
n03133878,object
n03134739,object
n03141823,object
n03146219,object
n03160309,scene
n03179701,object
n03180011,object
n03187595,object
n03188531,object
n03196217,object
n03197337,object
n03201208,object
n03207743,object
n03207941,object
n03208938,object
n03216828,scene
n03218198,scene
n03220513,object
n03223299,scene
n03240683,object
n03249569,object
n03250847,object
n03255030,object
n03259280,object
n03271574,object
n03272010,object
n03272562,plant or food
n03290653,object
n03291819,plant or food
n03297495,object
n03314780,animal or human
n03325584,object
n03337140,object
n03344393,scene
n03345487,plant or food
n03347037,object
n03355925,object
n03372029,object
n03376595,object
n03379051,object
n03384352,plant or food
n03388043,scene
n03388183,object
n03388549,object
n03393912,plant or food
n03394916,object
n03400231,object
n03404251,object
n03417042,plant or food
n03424325,object
n03425413,object
n03443371,plant or food
n03444034,plant or food
n03445777,object
n03445924,plant or food
n03447447,scene
n03447721,object
n03450230,object
n03452741,object
n03457902,scene
n03459775,scene
n03461385,scene
n03476684,object
n03476991,animal or human
n03478589,scene
n03481172,object
n03482405,plant or food
n03483316,object
n03485407,object
n03485794,object
n03492542,object
n03494278,object
n03495258,object
n03496892,object
n03498962,object
n03529860,scene
n03530642,object
n03532672,object
n03534580,object
n03535780,object
n03538406,plant or food
n03544143,object
n03584254,object
n03584829,object
n03590841,object
n03594734,object
n03594945,plant or food
n03595614,object
n03598930,object
n03599486,plant or food
n03602883,object
n03617480,object
n03623198,object
n03627232,object
n03630383,object
n03633091,plant or food
n03637318,object
n03642806,object
n03649909,object
n03657121,object
n03658185,object
n03661043,scene
n03662601,scene
n03666591,object
n03670208,plant or food
n03673027,scene
n03676483,animal or human
n03680355,scene
n03690938,animal or human
n03691459,object
n03692522,object
n03697007,scene
n03706229,object
n03709823,plant or food
n03710193,plant or food
n03717622,scene
n03720891,object
n03721384,object
n03724870,object
n03729826,object
n03733131,object
n03733281,object
n03733805,plant or food
n03742115,object
n03743016,scene
n03759954,object
n03761084,object
n03763968,object
n03764736,plant or food
n03769881,scene
n03770679,plant or food
n03773504,object
n03775071,object
n03775546,plant or food
n03776460,plant or food
n03777568,plant or food
n03777754,object
n03781244,scene
n03782006,object
n03785016,plant or food
n03786901,plant or food
n03787032,object
n03788195,scene
n03788365,object
n03791053,plant or food
n03792782,plant or food
n03792972,scene
n03793489,object
n03794056,object
n03796401,plant or food
n03803284,object
n03804744,object
n03814639,object
n03814906,object
n03825788,scene
n03832673,object
n03837869,object
n03838899,object
n03840681,object
n03841143,object
n03843555,object
n03854065,object
n03857828,object
n03866082,object
n03868242,plant or food
n03868863,object
n03871628,plant or food
n03873416,object
n03874293,object
n03874599,object
n03876231,object
n03877472,object
n03877845,scene
n03884397,object
n03887697,object
n03888257,object
n03888605,object
n03891251,object
n03891332,object
n03895866,plant or food
n03899768,scene
n03902125,object
n03903868,object
n03908618,plant or food
n03908714,object
n03916031,animal or human
n03920288,plant or food
n03924679,object
n03929660,object
n03929855,object
n03930313,scene
n03930630,plant or food
n03933933,object
n03935335,plant or food
n03937543,plant or food
n03938244,object
n03942813,object
n03944341,object
n03947888,scene
n03950228,plant or food
n03954731,object
n03956157,scene
n03958227,plant or food
n03961711,object
n03967562,object
n03970156,object
n03976467,object
n03976657,object
n03977966,plant or food
n03980874,object
n03982430,object
n03983396,plant or food
n03991062,plant or food
n03992509,object
n03995372,object
n03998194,scene
n04004767,object
n04005630,scene
n04008634,object
n04009552,object
n04019541,object
n04023962,object
n04026417,plant or food
n04033901,object
n04033995,object
n04037443,plant or food
n04039381,object
n04040759,object
n04041544,object
n04044716,object
n04049303,plant or food
n04065272,plant or food
n04067472,object
n04069434,object
n04070727,object
n04074963,object
n04081281,scene
n04099969,object
n04111531,object
n04116512,object
n04118538,object
n04118776,object
n04120489,scene
n04125021,plant or food
n04127249,object
n04131690,plant or food
n04133789,scene
n04136333,object
n04141076,object
n04141327,object
n04141975,object
n04146614,scene
n04147183,scene
n04149813,object
n04152593,object
n04153751,object
n04154565,object
n04162706,object
n04179913,object
n04192698,object
n04200800,scene
n04201297,object
n04204238,plant or food
n04204347,plant or food
n04208210,object
n04209133,object
n04209239,object
n04228054,object
n04229816,object
n04235860,plant or food
n04238763,object
n04239074,scene
n04243546,object
n04251144,object
n04252077,plant or food
n04252225,plant or food
n04254120,plant or food
n04254680,object
n04254777,object
n04258138,object
n04259630,object
n04263257,plant or food
n04264628,object
n04265275,object
n04266014,object
n04270147,object
n04273569,scene
n04275548,object
n04277352,object
n04285008,plant or food
n04286575,object
n04296562,scene
n04310018,plant or food
n04311004,scene
n04311174,object
n04317175,object
n04325704,object
n04326547,scene
n04328186,object
n04330267,object
n04332243,object
n04335435,plant or food
n04336792,scene
n04344873,object
n04346328,scene
n04347754,scene
n04350905,object
n04355338,object
n04355933,object
n04356056,object
n04357314,animal or human
n04366367,scene
n04367480,object
n04370456,object
n04371430,object
n04371774,object
n04372370,object
n04376876,object
n04380533,object
n04389033,plant or food
n04392985,object
n04398044,plant or food
n04399382,animal or human
n04404412,object
n04409515,object
n04417672,object
n04418357,object
n04423845,plant or food
n04428191,object
n04429376,object
n04435653,object
n04442312,object
n04443257,scene
n04447861,object
n04456115,object
n04458633,object
n04461696,plant or food
n04462240,scene
n04465501,plant or food
n04467665,plant or food
n04476259,plant or food
n04479046,object
n04482393,plant or food
n04483307,scene
n04485082,object
n04486054,scene
n04487081,scene
n04487394,object
n04493381,plant or food
n04501370,scene
n04505470,object
n04507155,object
n04509417,plant or food
n04515003,object
n04517823,object
n04522168,plant or food
n04523525,object
n04525038,animal or human
n04525305,object
n04532106,object
n04532670,scene
n04536866,object
n04540053,object
n04542943,object
n04548280,object
n04548362,plant or food
n04550184,object
n04552348,scene
n04553703,plant or food
n04554684,object
n04557648,plant or food
n04560804,plant or food
n04562935,plant or food
n04579145,plant or food
n04579432,object
n04584207,object
n04589890,object
n04590129,object
n04591157,object
n04591713,plant or food
n04592741,object
n04596742,object
n04597913,plant or food
n04599235,scene
n04604644,scene
n04606251,scene
n04612504,scene
n04613696,scene
n06596364,scene
n06785654,object
n06794110,scene
n06874185,scene
n07248320,object
n07565083,object
n07579787,animal or human
n07583066,plant or food
n07584110,plant or food
n07590611,plant or food
n07613480,animal or human
n07614500,animal or human
n07615774,animal or human
n07684084,plant or food
n07693725,plant or food
n07695742,plant or food
n07697313,plant or food
n07697537,plant or food
n07711569,plant or food
n07714571,plant or food
n07714990,plant or food
n07715103,plant or food
n07716358,plant or food
n07716906,plant or food
n07717410,plant or food
n07717556,plant or food
n07718472,plant or food
n07718747,plant or food
n07720875,plant or food
n07730033,plant or food
n07734744,plant or food
n07742313,plant or food
n07745940,plant or food
n07747607,plant or food
n07749582,plant or food
n07753113,plant or food
n07753275,plant or food
n07753592,plant or food
n07754684,plant or food
n07760859,plant or food
n07768694,plant or food
n07802026,object
n07831146,plant or food
n07836838,plant or food
n07860988,scene
n07871810,plant or food
n07873807,plant or food
n07875152,plant or food
n07880968,plant or food
n07892512,plant or food
n07920052,plant or food
n07930864,plant or food
n07932039,plant or food
n09193705,scene
n09229709,object
n09246464,scene
n09256479,scene
n09288635,object
n09332890,scene
n09399592,scene
n09421951,scene
n09428293,scene
n09468604,scene
n09472597,scene
n09835506,animal or human
n10148035,animal or human
n10565667,animal or human
n11879895,plant or food
n11939491,plant or food
n12057211,plant or food
n12144580,plant or food
n12267677,plant or food
n12620546,plant or food
n12768682,plant or food
n12985857,plant or food
n12998815,plant or food
n13037406,plant or food
n13040303,plant or food
n13044778,plant or food
n13052670,plant or food
n13054560,plant or food
n13133613,plant or food
n15075141,object
readingroom,scene
office,scene
deck,scene
promenadeDeck,scene
MRI,scene
factory,scene
sushibar,scene
cornfield,scene
hardwarestore,scene
greenhouse,scene
bedroom,scene
labClass,scene
warehouseoutside,scene
livingroom,scene
tenniscourt,scene
frontFoyer,scene
hotellobby,scene
courthouse,scene
icecream,scene
pier,scene
citystreet,scene
cemetery,scene
lake,scene
pharmacy,scene
churchInside,scene
trainStation,scene
bowlingalley,scene
drymountains,scene
observatory,scene
garbagedump,scene
horsebarn,scene
copyroom,scene
lookout,scene
gasstation,scene
sculpturegarden,scene
bathroomSink,scene
treehouse,scene
dock,scene
frontLawn,scene
homeoffice,scene
courtroom,scene
basement,scene
fireplace,scene
track,scene
mallindoor,scene
firestation,scene
bar,scene
skatepark,scene
coralreef,scene
gazebo,scene
flowershop,scene
fishmarket,scene
appleorchard,scene
fabricstore,scene
dinosaur,scene
nursery,scene
campusquad,scene
van_interior,scene
sandDunes_desert_outdoor,scene
sidewalk,scene
ShowJumping,scene
hometheater,scene
windmill,scene
HorseRaceTrack,scene
concert,scene
baggageClaim,scene
artStudio,scene
hotelRoom,scene
pantry,scene
driveway,scene
pasture,scene
glaciers_outdoor,scene
golfcourse,scene
amusement,scene
airplanecabin,scene
cargo,scene
publicrestroom,scene
ticket_counter,scene
dancestudio,scene
staircase,scene
closet,scene
exerciseequipment,scene
soccerfield,scene
dining_car,scene
fireEscape,scene
basketballcourt,scene
dugout,scene
farm,scene
clothingstore,scene
wineVineyard,scene
fountain,scene
playground,scene
skislope,scene
martialartsclass,scene
pizzeria,scene
frontDoor,scene
brewery,scene
highway,scene
carmechanic,scene
concerthall,scene
nailsalon,scene
baywindow,scene
bridalboutique,scene
bikerack,scene
cockpit,scene
childsroom,scene
parkinggarage,scene
baseball,scene
aquarium,scene
rooftop,scene
parkinglot,scene
kitchen,scene
homegarden,scene
diner,scene
restaurant,scene
metroInside,scene
island,scene
casino,scene
cabinIndoors,scene
photographer_studio,scene
grocerystore,scene
rainforest,scene
carwash,scene
foodcourt,scene
castle,scene
drycleaners,scene
RVinside,scene
bridge,scene
ISS,scene
lightingstore,scene
ATM,scene
forestpath,scene
shoestore,scene
eyeglassstore,scene
canyon,scene
church,scene
cafeteria,scene
cubicle,scene
conference,scene
bakerykitchen,scene
tailor,scene
olympicswimmingpool,scene
arcade,scene
greenmountains,scene
museum,scene
footballstadium,scene
attic,scene
postoffice,scene
farmersmarket,scene
musicStore,scene
banquetHall,scene
chickenCoop,scene
volleyballcourt,scene
liquorstore,scene
cabin,scene
winebarrel,scene
constructionSite,scene
porch,scene
squashcourt,scene
park,scene
hut,scene
dentist,scene
hospitalroom,scene
diningroom,scene
sandbox,scene
stripmall,scene
snowmountains,scene
poolhall,scene
tvstudio,scene
balconyOUT,scene
jewelrystore,scene
chemicalplant,scene
hayfield,scene
pavilion,scene
lockerroom,scene
runway,scene
dollhouse,scene
kindergarten_classroom,scene
ruralroad,scene
shower,scene
tollbooth,scene
desertvegetation,scene
barbershop,scene
airportTerminal,scene
wrestlingring,scene
shootingrange,scene
swimmingpool,scene
savanna,scene
breakroom,scene
weightroom,scene
balconyIN,scene
campsite,scene
circus,scene
alley,scene
movie_theater,scene
planetarium,scene
boardwalk,scene
whitewaterrapids,scene
minigolf,scene
hedgemaze,scene
pond,scene
restaurantkitchen,scene
stream_outdoor,scene
waitingroom,scene
bistrooutdoor,scene
hottub,scene
doctor,scene
bleachers,scene
cave,scene
operatingroom,scene
cabana,scene
apartmentBuilding,scene
applestore,scene
bambooforest,scene
bus_shelter,scene
warehouse,scene
recordingstudio,scene
beach,scene
library_aisle,scene
pub,scene
hallway,scene
waterfall_outdoor,scene
ballroom,scene
elevatorOutside,scene
botanicalGarden,scene
coffeeshop,scene
homegarage,scene
dormroom,scene
lab,scene
checkoutcounter,scene
yogastudio,scene
ice_rink,scene
onboat,scene
backstage,scene
playroom,scene
backyard,scene
carFactory,scene
cliff,scene
classroom,scene
sparoom,scene
fittingroom,scene
theater,scene
newsstand,scene
bakery,scene
harbor,scene
jail,scene
auto_showroom,scene
racecarcourse,scene
laundromat,scene
igloo,scene
